Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress ScoreÂ®,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Total Sets,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp
Cardio,2020-10-21 12:38:16,false,"Cardio","0.00","319","00:50:55","108","145","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","50:55","0:00","0.0","0:00","No","50:54.76","1","0.0"
Cardio,2020-10-14 18:30:12,false,"Cardio","0.00","703","02:46:40","92","126","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","2:46:40","0:00","0.0","0:00","No","02:46:39.96","1","0.0"
Cardio,2020-10-12 13:08:09,false,"Cardio","0.00","429","01:24:22","96","144","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","1:24:22","0:00","0.0","0:00","No","01:24:21.89","1","0.0"
Cardio,2020-09-13 19:57:19,false,"Cardio","0.00","288","01:30:38","81","111","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","1:30:38","0:00","0.0","0:00","No","01:30:38.48","1","0.0"
Running,2020-09-12 22:06:07,false,"Varna Running","4.42","591","00:57:55","140","169","55","232","13:07","3:08","7","8","1.39","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","57:55","0:00","0.0","0:00","No","08:08.65","5","0.0"
Cardio,2020-09-06 13:48:11,false,"Cardio","0.00","417","01:40:28","93","119","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","1:40:28","0:00","0.0","0:00","No","01:40:27.71","1","0.0"
Running,2020-09-03 18:03:59,false,"Sofia Running","6.27","611","01:24:43","116","154","53","229","13:30","4:52","38","27","1.20","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","1:24:43","0:00","0.0","0:00","No","01:08.40","7","0.0"
Running,2020-09-01 21:25:57,false,"Running","5.01","730","01:03:30","148","171","39","226","12:41","7:34","--","10","2.18","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","1:03:30","0:00","0.0","0:00","No","00:04.42","6","0.0"
Cardio,2020-08-28 20:38:58,false,"Cardio","0.00","433","01:35:52","94","124","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","1:35:52","0:00","0.0","0:00","No","01:35:52.09","1","0.0"
Cardio,2020-08-27 13:03:25,false,"Cardio","0.00","394","01:26:14","95","133","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","1:26:14","0:00","0.0","0:00","No","01:26:13.54","1","0.0"
Running,2020-08-26 20:44:17,false,"Sofia Running","4.10","665","01:09:00","138","164","51","245","16:50","3:09","17","23","1.20","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","1:09:00","0:00","0.0","0:00","No","02:21.11","5","0.0"
Running,2020-08-07 19:13:29,false,"Varna Running","4.31","698","00:59:19","149","172","50","248","13:46","2:50","26","26","1.46","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","59:19","0:00","0.0","0:00","No","08:55.66","5","0.0"
Running,2020-08-05 18:56:13,false,"Varna Running","1.66","267","00:26:54","133","162","78","179","16:14","5:17","--","--","0.78","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","26:54","0:00","0.0","0:00","No","13:11.22","2","0.0"
Cardio,2020-08-02 12:47:10,false,"Cardio","0.00","168","00:12:34","151","173","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","12:34","0:00","0.0","0:00","No","12:34.07","1","0.0"
Walking,2020-07-29 17:10:26,false,"Devin Walking","6.10","543","01:58:15","91","143","56","238","19:23","6:08","105","129","1.01","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","1:58:15","0:00","0.0","0:00","No","01:21.70","7","0.0"
Walking,2020-07-29 16:13:00,false,"Devin Walking","2.05","284","00:50:15","101","154","53","159","24:31","10:46","100","72","0.78","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","50:15","0:00","0.0","0:00","No","02:11.74","3","0.0"
Walking,2020-07-28 10:57:11,false,"Borino Walking","4.75","466","01:51:22","89","136","33","177","23:28","3:02","54","168","1.73","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","1:51:22","0:00","0.0","0:00","No","13:56.07","5","0.0"
Walking,2020-07-25 17:46:11,false,"Walking","1.50","159","00:25:21","106","146","37","135","16:53","11:14","69","--","1.66","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","25:21","0:00","0.0","0:00","No","09:02.28","2","0.0"
Pool Swimming,2020-07-22 18:32:38,false,"Pool Swimming","1,050","274","00:30:15","--","--","--","--","1:30","0:25","--","--","0.00","0.0","0.0","0.0","0.0","0.0","374","63","24","--","--","30:15","0:00","0.0","0:00","No","13:48.23","2","0.0"
Running,2020-06-25 08:58:32,false,"Sofia Running","3.01","233","00:21:43","138","154","164","196","7:13","3:57","2","2","0.84","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","21:43","0:00","0.0","0:00","No","00:04.15","4","0.0"
Running,2020-06-23 21:12:50,false,"Sofia Running","3.00","702","01:08:01","140","169","36","248","22:41","3:24","2","8","1.25","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","1:08:01","0:00","0.0","0:00","No","00:03.45","4","0.0"
Running,2020-06-23 18:06:25,false,"Sofia Running","3.01","251","00:20:05","149","163","163","182","6:41","3:58","3","7","0.92","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","20:05","0:00","0.0","0:00","No","00:03.03","4","0.0"
Cardio,2020-06-22 19:29:34,false,"Cardio","0.00","181","00:32:10","99","146","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","32:10","0:00","0.0","0:00","No","32:09.61","1","0.0"
Running,2020-06-21 15:08:53,false,"Sofia Running","3.70","683","00:52:40","153","171","47","248","14:15","3:11","7","7","1.50","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","52:40","0:00","0.0","0:00","No","10:21.92","4","0.0"
Running,2020-06-17 18:36:16,false,"Sofia Running","3.21","256","00:24:15","136","150","161","213","7:33","2:56","--","--","0.82","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","24:15","0:00","0.0","0:00","No","02:14.71","4","0.0"
Walking,2020-06-14 10:27:25,false,"Lukovit Walking","4.57","428","01:37:22","88","125","55","157","21:17","10:34","32","25","0.87","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","1:37:22","0:00","0.0","0:00","No","09:13.27","5","0.0"
Running,2020-06-11 18:04:37,false,"Sofia Running","3.13","415","00:57:07","120","154","37","242","18:15","3:38","7","4","1.47","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","57:07","0:00","0.0","0:00","No","04:58.74","4","0.0"
Cardio,2020-06-09 19:18:37,false,"Cardio","0.00","379","00:54:02","111","148","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","54:02","0:00","0.0","0:00","No","54:01.98","1","0.0"
Walking,2020-06-07 11:28:13,false,"Pernik Walking","6.03","523","01:55:43","88","144","70","196","19:12","2:49","150","114","0.79","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","1:55:43","0:00","0.0","0:00","No","00:24.88","7","0.0"
Running,2020-06-06 14:34:20,false,"Sofia Running","1.29","374","00:25:31","159","173","41","221","19:49","4:16","6","5","1.25","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","25:31","0:00","0.0","0:00","No","05:47.02","2","0.0"
Walking,2020-05-12 18:34:56,false,"Varna Walking","4.02","269","01:06:25","76","98","85","117","16:31","6:51","15","28","0.72","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","1:06:25","0:00","0.0","0:00","No","00:03.40","5","0.0"
Running,2020-04-26 18:56:02,false,"Sofia Running","4.21","323","00:27:27","141","160","161","194","6:32","3:49","2","--","0.95","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","27:27","0:00","0.0","0:00","No","01:10.72","5","0.0"
Running,2020-04-24 18:16:31,false,"Sofia Running","4.20","353","00:28:25","150","173","164","205","6:46","2:56","12","8","0.90","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","28:25","0:00","0.0","0:00","No","01:55.33","5","0.0"
Running,2020-04-23 18:33:50,false,"Running","3.36","359","00:27:56","146","171","160","215","8:19","3:50","9","6","0.75","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","27:56","0:00","0.0","0:00","No","03:28.68","4","0.0"
Running,2020-04-22 18:10:54,false,"Running","3.08","315","00:24:17","145","171","164","209","7:53","3:26","7","4","0.77","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","24:17","0:00","0.0","0:00","No","00:42.35","4","0.0"
Walking,2020-04-19 16:53:27,false,"Sofia Walking","5.37","335","01:23:13","77","129","77","217","15:29","10:05","45","37","0.96","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","1:23:13","0:00","0.0","0:00","No","05:29.32","6","0.0"
Walking,2020-04-18 15:30:35,false,"Sofia Walking","4.54","306","01:17:48","86","121","56","157","17:09","10:31","15","28","2.10","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","1:17:48","0:00","0.0","0:00","No","13:43.49","5","0.0"
Running,2020-04-16 18:48:36,false,"Running","3.01","279","00:22:19","142","163","164","223","7:25","2:22","8","7","0.82","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","22:19","0:00","0.0","0:00","No","00:02.29","4","0.0"
Running,2020-04-15 18:42:51,false,"Running","2.61","258","00:20:08","144","159","165","214","7:42","3:50","4","--","0.79","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","20:08","0:00","0.0","0:00","No","05:26.96","3","0.0"
Walking,2020-04-11 15:43:57,false,"Sofia Walking","4.55","323","01:23:19","84","115","64","153","18:18","7:02","30","29","1.09","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","1:23:19","0:00","0.0","0:00","No","12:18.74","5","0.0"
Running,2020-04-07 19:34:21,false,"Sofia Running","1.59","142","00:13:28","132","159","144","210","8:30","4:03","2","4","0.80","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","13:28","0:00","0.0","0:00","No","06:38.43","2","0.0"
Running,2020-03-10 21:11:12,false,"Running","6.18","767","01:04:38","150","172","48","247","10:28","4:39","--","6","2.05","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","1:04:38","0:00","0.0","0:00","No","02:53.83","7","0.0"
Cardio,2020-03-10 19:28:25,false,"Cardio","0.00","249","00:41:22","105","130","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","41:22","0:00","0.0","0:00","No","00:00.00","1","0.0"
Running,2020-03-04 19:05:18,false,"Varna Running","2.81","230","00:19:21","140","155","165","226","6:52","1:41","4","3","0.88","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","19:21","0:00","0.0","0:00","No","05:46.37","3","0.0"
Running,2020-03-01 20:05:33,false,"Varna Running","6.23","881","01:13:14","149","181","59","239","11:46","2:22","18","20","1.47","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","1:13:14","0:00","0.0","0:00","No","03:45.01","7","0.0"
Pool Swimming,2020-02-28 12:32:57,false,"Pool Swimming","1,250","305","00:25:07","100","139","--","--","1:51","0:35","--","--","0.00","0.0","0.0","0.0","0.0","0.0","575","78","25","--","--","25:07","0:00","0.0","0:00","No","00:02.40","2","0.0"
Running,2020-02-25 21:03:00,false,"Sofia Running","4.59","677","01:11:07","134","170","38","233","15:29","2:57","22","21","1.84","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","1:11:07","0:00","0.0","0:00","No","10:40.99","5","0.0"
Cardio,2020-02-25 19:21:54,false,"Cardio","0.00","99","00:47:42","69","125","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","47:42","0:00","0.0","0:00","No","00:00.00","1","0.0"
Cardio,2020-02-23 17:06:57,false,"Cardio","0.00","375","01:09:47","102","126","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","1:09:47","0:00","0.0","0:00","No","00:00.00","1","0.0"
Running,2020-02-22 16:09:22,false,"Sofia Running","3.00","551","00:53:22","135","173","44","238","17:46","2:47","10","16","1.30","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","53:22","0:00","0.0","0:00","No","00:03.96","4","0.0"
Cardio,2020-02-18 19:21:34,false,"Cardio","0.00","272","00:48:19","100","146","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","48:19","0:00","0.0","0:00","No","00:00.00","1","0.0"
Cardio,2020-02-17 20:49:16,false,"Cardio","0.00","96","00:14:49","106","116","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","14:49","0:00","0.0","0:00","No","00:00.00","1","0.0"
Cardio,2020-02-15 18:19:47,false,"Cardio","0.00","212","00:39:03","99","140","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","39:03","0:00","0.0","0:00","No","00:00.00","1","0.0"
Cardio,2020-02-14 18:04:52,false,"Cardio","0.00","29","00:12:14","71","86","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","12:14","0:00","0.0","0:00","No","00:00.00","1","0.0"
Running,2020-02-13 17:56:39,false,"Sofia Running","3.79","687","01:10:13","140","170","38","228","18:31","4:00","18","25","1.44","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","1:10:13","0:00","0.0","0:00","No","14:51.62","4","0.0"
Cardio,2020-02-12 20:23:24,false,"Cardio","0.00","546","01:38:14","106","151","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","1:38:14","0:00","0.0","0:00","No","00:00.00","1","0.0"
Running,2020-02-11 21:10:24,false,"Sofia Running","2.87","680","00:55:14","150","180","45","248","19:15","4:51","9","21","1.20","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","55:14","0:00","0.0","0:00","No","15:33.87","3","0.0"
Cardio,2020-02-10 20:26:15,false,"Cardio","0.00","637","01:14:34","127","157","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","1:14:34","0:00","0.0","0:00","No","00:00.00","1","0.0"
Cardio,2020-02-09 13:17:16,false,"Cardio","0.00","562","02:01:50","112","154","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","2:01:50","0:00","0.0","0:00","No","00:00.00","1","0.0"
Running,2020-02-04 21:10:52,false,"Running","6.15","666","01:00:35","139","178","40","236","9:51","5:27","2","21","2.57","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","1:00:35","0:00","0.0","0:00","No","01:58.26","7","0.0"
Cardio,2020-02-04 19:22:38,false,"Cardio","0.00","248","00:42:32","103","153","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","42:32","0:00","0.0","0:00","No","00:00.00","1","0.0"
